anime_id,titulo,titulo_ingles,titulo_japones,tipo,fonte,episodios,status,em_exibicao,data_inicio_exibicao,data_fim_exibicao,duracao_min,classificacao_etaria,ano,temporada
173295,Shoushimin Series,SHOSHIMIN: How to Become Ordinary,小市民シリーズ,TV,OTHER,10.0,FINISHED,False,2024-07-07,2024-09-15,23.0,,2024.0,summer
113260,Tian Guan Ci Fu,Heaven Official's Blessing,天官赐福,ONA,OTHER,11.0,FINISHED,False,2020-10-31,2021-01-02,25.0,,,
158931,Ao no Exorcist: Shimane Illuminati-hen,Blue Exorcist -Shimane Illuminati Saga-,青の祓魔師 島根啓明結社篇,TV,MANGA,12.0,FINISHED,False,2024-01-07,2024-03-24,24.0,,2024.0,winter
122434,Heion Sedai no Idaten-tachi,The Idaten Deities Know Only Peace,平穏世代の韋駄天達,TV,MANGA,11.0,FINISHED,False,2021-07-23,2021-09-28,23.0,,2021.0,summer
21339,Charlotte: Tsuyoimono-tachi,Charlotte: Strong People,Charlotte 強い者たち,OVA,ORIGINAL,1.0,FINISHED,False,2016-03-30,2016-03-30,25.0,,2016.0,winter
528,Pocket Monsters: Mewtwo no Gyakushuu,Pokémon: The First Movie,ポケットモンスター ミュウツーの逆襲,MOVIE,VIDEO_GAME,1.0,FINISHED,False,1998-07-18,1998-07-18,75.0,,1998.0,summer
105143,ONE PIECE STAMPEDE,One Piece: Stampede,ONE PIECE STAMPEDE,MOVIE,MANGA,1.0,FINISHED,False,2019-08-09,2019-08-09,101.0,,2019.0,summer
124195,Hanma Baki,Baki Hanma,範馬刃牙,ONA,MANGA,12.0,FINISHED,False,2021-09-30,2021-09-30,23.0,,2021.0,fall
5231,Inazuma Eleven,,イナズマイレブン,TV,VIDEO_GAME,127.0,FINISHED,False,2008-10-05,2011-04-27,25.0,,2008.0,fall
178090,"Tensei Shitara Dai Nana Ouji Datta node, Kimamani Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,TV,LIGHT_NOVEL,12.0,FINISHED,False,2025-07-10,2025-09-25,24.0,,2025.0,summer
31,Shin Seiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,MOVIE,ORIGINAL,1.0,FINISHED,False,1997-03-15,1997-03-15,104.0,,1997.0,winter
19429,Akuma no Riddle,Riddle Story of Devil,悪魔のリドル,TV,MANGA,12.0,FINISHED,False,2014-04-04,2014-06-20,24.0,,2014.0,spring
175443,Honey Lemon Soda,Honey Lemon Soda,ハニーレモンソーダ,TV,MANGA,12.0,FINISHED,False,2025-01-09,2025-03-27,23.0,,2025.0,winter
195516,Kusuriya no Hitorigoto 3rd Season,The Apothecary Diaries Season 3,薬屋のひとりごと 第3期,TV,LIGHT_NOVEL,,NOT_YET_RELEASED,False,2026-10-02,,,,2026.0,fall
20572,Kill la Kill Tokubetsu-hen,Kill la Kill: GOODBYE AGAIN,キルラキル 特別編,OVA,ORIGINAL,1.0,FINISHED,False,2014-09-03,2014-09-03,27.0,,2014.0,summer
142193,"Eiyuu-ou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Reborn to Master the Blade: From Hero-King to Extraordinary Squire,英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～,TV,LIGHT_NOVEL,12.0,FINISHED,False,2023-01-10,2023-03-28,24.0,,2023.0,winter
3470,Special A,S.A: Special A,スペシャル・エー,TV,MANGA,24.0,FINISHED,False,2008-04-07,2008-09-15,24.0,,2008.0,spring
3783,Kara no Kyoukai: Tsuukaku Zanryuu,"the Garden of sinners Chapter 3: ever cry, never life. (Remaining Sense of Pain)",空の境界 痛覚残留,MOVIE,OTHER,1.0,FINISHED,False,2008-02-09,2008-02-09,58.0,,2008.0,winter
111965,Peter Grill to Kenja no Jikan,Peter Grill and the Philosopher's Time,ピーターグリルと賢者の時間,TV_SHORT,MANGA,12.0,FINISHED,False,2020-07-11,2020-09-26,12.0,,2020.0,summer
4282,Kara no Kyoukai: Mujun Rasen,the Garden of sinners Chapter 5: Paradox Paradigm,空の境界 矛盾螺旋,MOVIE,OTHER,1.0,FINISHED,False,2008-08-16,2008-08-16,114.0,,2008.0,summer
