anime_id,data_coleta,score,scored_by,rank,popularity,members,favorites
4898,2026-08-16,7.3,93516,,175.0,258812,7062
145545,2026-08-16,7.9,115000,423.0,176.0,258564,7124
146065,2026-08-16,8.1,110178,248.0,177.0,257972,7970
104157,2026-08-16,8.4,128656,26.0,11.0,257845,10848
20458,2026-08-16,7.0,108923,,178.0,257545,5888
21049,2026-08-16,7.8,110464,,3.0,256986,7104
107660,2026-08-16,7.7,129561,,179.0,256733,8259
20872,2026-08-16,7.7,101521,,181.0,256650,7814
813,2026-08-16,8.0,137279,293.0,180.0,256558,16002
853,2026-08-16,8.1,113382,281.0,182.0,255377,15613
113538,2026-08-16,8.5,119467,64.0,183.0,253104,8385
172463,2026-08-16,8.6,84598,52.0,184.0,251132,9721
32,2026-08-16,8.5,142666,16.0,12.0,250720,19875
339,2026-08-16,8.0,79572,316.0,185.0,249823,16042
178025,2026-08-16,8.2,63700,181.0,187.0,249504,10524
889,2026-08-16,7.8,88858,436.0,186.0,249487,9353
1689,2026-08-16,7.2,113326,,13.0,248115,5097
6880,2026-08-16,6.7,102724,,188.0,248114,3552
6045,2026-08-16,7.9,83791,417.0,189.0,248020,9121
146984,2026-08-16,8.7,119290,,,246583,7005
16782,2026-08-16,7.5,115738,,14.0,245922,5565
20807,2026-08-16,7.3,116852,,190.0,245852,5842
15583,2026-08-16,6.8,107845,,191.0,244728,5283
101474,2026-08-16,7.7,118839,,192.0,244413,6022
98436,2026-08-16,7.8,81425,455.0,193.0,244078,8328
116267,2026-08-16,7.7,103391,,194.0,243808,8524
111321,2026-08-16,6.5,76044,,195.0,243621,3929
20596,2026-08-16,7.5,103650,,196.0,242825,7396
21092,2026-08-16,7.2,114149,,197.0,242695,6313
437,2026-08-16,8.5,103011,22.0,15.0,242381,17166
101167,2026-08-16,7.1,108565,,198.0,242165,4119
21857,2026-08-16,6.6,113597,,199.0,241438,3380
11741,2026-08-16,8.4,130691,89.0,200.0,240898,10248
102976,2026-08-16,8.2,117604,58.0,16.0,240440,6466
10793,2026-08-16,6.9,96801,,201.0,239453,5383
10165,2026-08-16,8.3,79909,143.0,202.0,238956,12409
159831,2026-08-16,7.6,84899,,203.0,237774,5740
21679,2026-08-16,8.1,114856,263.0,204.0,237256,6082
108463,2026-08-16,7.8,89246,500.0,205.0,236946,11055
100876,2026-08-16,7.1,119534,,206.0,236373,3028
17265,2026-08-16,7.6,93560,,207.0,236121,5355
102351,2026-08-16,6.3,110235,,208.0,235399,3670
158927,2026-08-16,8.0,88639,295.0,209.0,234858,4375
21647,2026-08-16,7.5,90571,,210.0,234082,6162
124153,2026-08-16,8.0,93381,344.0,211.0,233742,12096
100922,2026-08-16,8.2,96357,177.0,212.0,232480,12948
223,2026-08-16,7.8,113204,485.0,213.0,231909,9547
16592,2026-08-16,6.9,108444,,214.0,231756,4644
14513,2026-08-16,7.8,91520,489.0,215.0,230726,5728
109261,2026-08-16,8.0,113104,346.0,217.0,230262,8691
21709,2026-08-16,7.8,113547,465.0,216.0,230247,11375
171627,2026-08-16,9.0,105179,2.0,17.0,230020,17625
110349,2026-08-16,8.1,82928,34.0,4.0,229143,9490
47,2026-08-16,7.9,106575,144.0,18.0,228829,9145
21875,2026-08-16,8.0,102590,125.0,19.0,228679,6449
20727,2026-08-16,7.4,77784,,218.0,227996,5881
100668,2026-08-16,6.5,98502,,219.0,227256,7081
99255,2026-08-16,7.8,115189,483.0,220.0,226469,3093
97938,2026-08-16,5.7,79510,,221.0,223523,4839
129201,2026-08-16,8.3,66757,130.0,222.0,223054,9711
108489,2026-08-16,8.2,97474,174.0,223.0,222349,9886
